,Complex,Metal,Solvent,E12,smiles,Reaction,redox_site_smiles
0,ADEGIB,Co3,DCM,-0.65,C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,reduction,[Co+3]
1,ADEGIB,Co3,DCM,"0.23,0.63,1.0",C[OH][Co+3]1234Oc5c(CN1(Cc1cc(cc(c1O2)C(C)(C)C)C(C)(C)C)c1ccccc1N3=Cc1cc(cc(c1O4)C(C)(C)C)C(C)(C)C)cc(cc5C(C)(C)C)C(C)(C)C,oxidation,CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1/CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1/CC(C)(C)c1cc(C=Nc2ccccc2N(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
2,ADOLOX,Co2,ACN,-1.18,Br[Co+2]12(Br)(n3ccccc3C=N1c1ccc(cc1)C(O)=O)n1ccccc1C=N2c1ccc(cc1)C(O)=O,reduction,[Co+2]
3,AJONOD,Co2,ACN,-0.85,Br[Co+2]123(Br)N(=C(C)C(=N1c1ccccc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccccc1)C,reduction,[Co+2]
4,AJONUJ,Co3,ACN,"-0.58,-1.05",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(OC)cc1)C)O)N(=C(C)C(=N2c1ccc(OC)cc1)C)[O-],reduction,[Co+3]/[Co+3]
5,AJOPAR,Co3,ACN,"-0.2,-0.82",Br[Co+3]123(Br)N(=C(C)C(=N1c1ccc(OC)cc1)C)O[B-](F)(F)ON2=C(C)C(=N3c1ccc(OC)cc1)C,reduction,[Co+3]/[Co+3]
6,AJOPEV,Co3,ACN,"-0.36,-1.03",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccc(CC(O)=O)cc1)C)O)N(=C(C)C(=N2c1ccc(CC(O)=O)cc1)C)[O-],reduction,[Co+3]/[Co+3]
7,AJOPIZ,Co3,ACN,"-0.4,-0.9",Br[Co+3]12(Br)(N(=C(C)C(=N1c1ccccc1c1ccccc1)C)O)N(=C(C)C(=N2c1ccccc1c1ccccc1)C)[O-],reduction,[Co+3]/[Co+3]
8,ALOVAZ,Mn3,DCM,-0.52,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,reduction,[Mn+3]
9,ALOVAZ,Mn3,DCM,0.21,CCCCCCOc1ccc2C=N3CC[NH]4CC[NH]5CCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,oxidation,[Mn+3]
10,ALOVIH,Mn3,DCM,-0.73,CCCCCCOc1cccc2O[Mn+3]3456Oc7cccc(OCCCCCC)c7C=N3CCC[NH]4CC[NH]5CCCN6=Cc12,reduction,[Mn+3]
11,ALOVIH,Mn3,DCM,0.31,CCCCCCOc1cccc2O[Mn+3]3456Oc7cccc(OCCCCCC)c7C=N3CCC[NH]4CC[NH]5CCCN6=Cc12,oxidation,[Mn+3]
12,BOFLIT,Mn3,DMF,-0.32,[OH2][Mn+3]123([OH2])Oc4c(OCC)cccc4C=N1CCN2=Cc1cccc(OCC)c1O3,reduction,[Mn+3]
13,BOFLOZ,Mn3,DMF,-0.09,[OH2][Mn+3]123(Oc4c(OC)cccc4C=N1CCCN2=Cc1cccc(OC)c1O3)N=C=S,reduction,[Mn+3]
14,ALOVED,Mn3,DCM,0.26,CCCCCCOc1ccc2C=N3CCC[NH]4CC[NH]5CCCN6=Cc7ccc(OCCCCCC)cc7O[Mn+3]3456Oc2c1,oxidation,[Mn+3]
15,AQODAL,Mn4,DCM,-1.10,CC(C)(C)c1cc2N3c4cccc5cccn(c45)[Mn+4]453(Oc2c(c1)C(C)(C)C)Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)N4c1cccc2cccn5c12,reduction,[Mn+4]
16,AQODAL,Mn4,DCM,"-0.33,0.095",CC(C)(C)c1cc2N3c4cccc5cccn(c45)[Mn+4]453(Oc2c(c1)C(C)(C)C)Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)N4c1cccc2cccn5c12,oxidation,CC(C)(C)c1cc(Nc2cccc3cccnc23)c(O)c(C(C)(C)C)c1
17,ADEJIE,Fe2,ACN,"-1.64,-1.80",c1ccc2n(c1)[Fe+2]134(n5ccccc5c5cccc2n15)n1ccccc1c1cccc(n31)c1ccccn41,reduction,c1ccc(c2cccc(c3ccccn3)n2)nc1
18,ADEJIE,Fe2,ACN,0.71,c1ccc2n(c1)[Fe+2]134(n5ccccc5c5cccc2n15)n1ccccc1c1cccc(n31)c1ccccn41,oxidation,[Fe+2]
19,BEHHUT,Fe3,DMF,-1.61,C[OH][Fe+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)N=[N+]=[N-],reduction,[Fe+3]
20,BEHJAB,Fe3,DMF,-1.57,C[OH][Fe+3]123(Oc4ccccc4C=N1c1ccccc1N2=Cc1ccccc1O3)N=C=S,reduction,[Fe+3]
21,PUSYIL,Fe3,MeOH,-0.23,Cl[Fe+3]123(Cl)Oc4ccc(cc4CN1(Cc1ccccn21)Cc1ccccn31)N(=O)=O,reduction,[Fe+3]
22,BEHJEF,Fe3,DMF,-0.627,COc1cccc2C=N3c4ccccc4N4=Cc5cccc(OC)c5O[Fe+3]34(Oc12)(N1=CNC=C1)N1=CNC=C1,reduction,[Fe+3]
23,BETCIP,Fe2,ACN,-0.03,Cl[Fe+2]123(Cl)O(C)c4ccccc4N1(Cc1ccccn21)Cc1ccccn31,oxidation,[Fe+2]
24,BUJGOD,Fe3,DCM,-0.877,Cl[Fe+3]1234Oc5ccccc5C[NH]1CC(C)(C[NH]2Cc1ccccc1O3)c1ccccn41,reduction,[Fe+3]
25,ESAHOV,Fe3,MeOH,-0.29,[OH2][Fe+3]123(Cl)Oc4ccc(cc4CN1(CCN2(C)C)Cc1cc(ccc1O3)N(=O)=O)N(=O)=O,reduction,[Fe+3]
26,GOCMER,Fe2,ACN,0.75,CC1=NN(C(=C1)C)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)N1N=C(C)C=C1C,oxidation,[Fe+2]
27,GOCMER,Fe2,ACN,"-1.44,-1.66",CC1=NN(C(=C1)C)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)N1N=C(C)C=C1C,reduction,CC1=CC(C)=NN1c1cc(c2ccccn2)nc(c2ccccn2)c1
28,GUVNES,Fe2,DCM,-0.21,Fc1c(F)c(F)c(c(F)c1F)B12n3cccn3[Fe+2]34(n5cccn15)(n1cccn21)n1cccn1B(c1c(F)c(F)c(F)c(F)c1F)(n1cccn31)n1cccn41,oxidation,[Fe+2]
29,NEKKUM,Fe2,THF,"-1.9,-2.75",Cl[Fe+2]123(N4C=CC=CC4=C4C=CC=CN41)N1C(=CC=C1C[P]2(C1CCCCC1)C1CCCCC1)C[P]3(C1CCCCC1)C1CCCCC1,reduction,[Fe+2]/C1=CNC(=C2C=CC=CN2)C=C1
30,NEKKUM,Fe2,THF,-0.71,Cl[Fe+2]123(N4C=CC=CC4=C4C=CC=CN41)N1C(=CC=C1C[P]2(C1CCCCC1)C1CCCCC1)C[P]3(C1CCCCC1)C1CCCCC1,oxidation,[Fe+2]
31,MALFET02,Fe2,H2O,-0.28,[OH2][Fe+2]([OH2])([OH2])([OH2])(OC(=O)C=CC(O)=O)OC(=O)C=CC(O)=O,oxidation,[Fe+2]
32,YEMRUE,Fe3,ACN,-0.70,Cl[Fe+3]123(Cl)OC(=O)CCN1(Cc1ccccn21)Cc1ccccn31,reduction,[Fe+3]
33,AROFIX,Fe3,ACN,-0.088,Cl[Fe+3]123(Cl)[OH]C(CCl)CN1(Cc1ccccn21)Cc1ccccn31,reduction,[Fe+3]
34,DISWUY,Fe2,ACN,"-0.89,-1.16,-2.0,-2.18",Cc1cccc2n1[Fe+2]134(n5c(C)cccc5c5nc(nc2n15)c1ccc(Br)cc1)n1c(C)cccc1c1nc(nc(n31)c1cccc(C)n41)c1ccc(Br)cc1,reduction,Cc1cccc(c2nc(c3ccc(Br)cc3)nc(c3cccc(C)n3)n2)n1/Cc1cccc(c2nc(c3ccc(Br)cc3)nc(c3cccc(C)n3)n2)n1
35,DISWUY,Fe2,ACN,1.24,Cc1cccc2n1[Fe+2]134(n5c(C)cccc5c5nc(nc2n15)c1ccc(Br)cc1)n1c(C)cccc1c1nc(nc(n31)c1cccc(C)n41)c1ccc(Br)cc1,oxidation,[Fe+2]
36,DISWOS,Fe2,ACN,1.00,Brc1ccc(cc1)c1nc2n3c(n1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2nc(nc(n12)c1ccccn41)c1ccc(Br)cc1,oxidation,[Fe+2]
37,DISWOS,Fe2,ACN,"-1.07,-1.22,-1.90,-2.20",Brc1ccc(cc1)c1nc2n3c(n1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2nc(nc(n12)c1ccccn41)c1ccc(Br)cc1,reduction,Brc1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)cc1/Brc1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)cc1
38,DISWEI,Fe2,ACN,"-1.58,-1.7",Brc1ccc(cc1)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)c1ccc(Br)cc1,reduction,Brc1ccc(c2cc(c3ccccn3)nc(c3ccccn3)c2)cc1
39,DISWEI,Fe2,ACN,0.73,Brc1ccc(cc1)c1cc2n3c(c1)c1ccccn1[Fe+2]143(n3ccccc23)n2ccccc2c2cc(cc(n12)c1ccccn41)c1ccc(Br)cc1,oxidation,[Fe+2]
40,ADEJOK,Fe2,ACN,0.52,CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,oxidation,[Fe+2]
41,ADEJOK,Fe2,ACN,"-1.85,-2.04,-2.28",CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,reduction,CC(C)(C)C1=CC(=C2C=C(C(C)(C)C)C=CN2)NC=C1
42,AGUYUW,Fe2,DCM,0.65,CCC[OH][Fe+2]123([OH]CCC)N4C5=C(C6=N1C(=C(C1=C(C(=C(N21)C(=C1N3=C(C(=C4C(=C5N(=O)=O)N(=O)=O)c2c(Cl)cccc2Cl)C(=C1N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)C(=C6N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl,oxidation,[Fe+2]
43,AHINIR,Fe2,ACN,0.0,Cl[Fe+2]123(Cl)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,oxidation,[Fe+2]
44,AHINOX,Fe2,ACN,0.74,CC#N[Fe+2]123(N#CC)n4ccccc4CN1(C)CCN2(C)Cc1ccccn31,oxidation,[Fe+2]
45,AHINUD,Fe2,ACN,0.96,CC#N[Fe+2]123(N#CC)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,oxidation,[Fe+2]
46,DOMNAV,Fe2,ACN,-0.145,Cl[Fe+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1cccc(C)n31,oxidation,[Fe+2]
47,DOMNEZ,Fe2,ACN,-0.025,[Fe+2]123(Cl)(Cl)[N](C[c]4n1cccc4)(C[c]1n2c(ccc1)C)C[c]1n3c(ccc1)C,oxidation,[Fe+2]
48,ELEWUO,Fe2,ACN,-0.17,Cl[Fe+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1cccc(I)n31,oxidation,[Fe+2]
49,DOMNID,Fe2,ACN,0.09,[Fe+2]12(Cl)(Cl)n3[c](cccc3C)C[N]1(Cc1nc(C)ccc1)Cc1n2[c](ccc1)C,oxidation,[Fe+2]
50,BILXAX,Fe2,DMF,"-0.47,-0.25",O=C1O[Fe+2]234(OC5=C(Oc6ccccc6C5=O2)c2ccccc2)n2ccccc2CN3(Cc2ccccn42)Cc2ccccc12,oxidation,[Fe+2]/O=C1C(O)=C(c2ccccc2)Oc2ccccc21
51,DISWIM,Fe2,ACN,1.51,Brc1ccc(cc1)c1nc2n3c(n1)c1cnccn1[Fe+2]143(n3ccncc23)n2ccncc2c2nc(nc(n12)c1cnccn41)c1ccc(Br)cc1,oxidation,[Fe+2]
52,FIJTIC,Fe2,ACN,0.33,CCN1C=CN2=C1N=N(c1ccc(C)cc1)[Fe+2]12(N=C=S)(N=C=S)N2=C(N=N1c1ccc(C)cc1)N(CC)C=C2,oxidation,[Fe+2]
53,DISWIM,Fe2,ACN,"-0.80,-0.89,-1.51,-1.78",Brc1ccc(cc1)c1nc2n3c(n1)c1cnccncd1[Fe+2]143(n3ccncc23)n2ccncc2c2nc(nc(n12)c1cnccn41)c1ccc(Br)cc1,reduction,Brc1ccc(c2nc(c3cnccn3)nc(c3cnccn3)n2)cc1/Brc1ccc(c2nc(c3cnccn3)nc(c3cnccn3)n2)cc1
