Name,smiles,E12,Metal,Reaction,SMILES,solvent
"1,3-benzodioxole-5-carboxylic acid",C1OC2=C(O1)C=C(C=C2)C(=O)O,1.2400000000000002,None,oxidation,C1OC2=C(O1)C=C(C=C2)C(=O)O,ACN
"1,3-benzodioxole-5-carbaldehyde",C1OC2=C(O1)C=C(C=C2)C=O,1.2599999999999998,None,oxidation,C1OC2=C(O1)C=C(C=C2)C=O,ACN
2-(4-methoxyphenyl)acetic acid,COC1=CC=C(C=C1)CC(=O)O,1.1800000000000002,None,oxidation,COC1=CC=C(C=C1)CC(=O)O,ACN
"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,2.03,None,oxidation,CC(=O)C(C)(C)C,ACN
3-methylbutan-2-one,CC(C)C(=O)C,2.12,None,oxidation,CC(C)C(=O)C,ACN
"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,2.01,None,oxidation,CC(C)C(=O)C(C)C,ACN
phenyl formate,C1=CC=C(C=C1)OC=O,1.58,None,oxidation,C1=CC=C(C=C1)OC=O,ACN
1-chloro-4-cyclopropylbenzene,C1CC1C2=CC=C(C=C2)Cl,1.58,None,oxidation,C1CC1C2=CC=C(C=C2)Cl,ACN
p-Chlorotoluene,CC1=CC=C(C=C1)Cl,1.7000000000000002,None,oxidation,CC1=CC=C(C=C1)Cl,ACN
"N,N-dimethylacetamide",CC(=O)N(C)C,1.7000000000000002,None,oxidation,CC(=O)N(C)C,ACN
"N,N-dimethylbenzamide",CN(C)C(=O)C1=CC=CC=C1,1.65,None,oxidation,CN(C)C(=O)C1=CC=CC=C1,ACN
1-(methoxymethyl)piperidine,COCN1CCCCC1,1.4900000000000002,None,oxidation,COCN1CCCCC1,ACN
methyl piperidine-1-carboxylate,COC(=O)N1CCCCC1,1.5700000000000005,None,oxidation,COC(=O)N1CCCCC1,ACN
trimethyl(prop-2-enyl)silane,C[Si](C)(C)CC=C,1.11,None,oxidation,C[Si](C)(C)CC=C,ACN
trimethyl(3-methylbut-2-enyl)silane,CC(=CC[Si](C)(C)C)C,1.0,None,oxidation,CC(=CC[Si](C)(C)C)C,ACN
1-ethoxyethenoxy(trimethyl)silane,CCOC(=C)O[Si](C)(C)C,0.89,None,oxidation,CCOC(=C)O[Si](C)(C)C,ACN
(1-methoxy-2-methylprop-1-enoxy)-trimethylsilane,CC(=C(OC)O[Si](C)(C)C)C,0.5099999999999999,None,oxidation,CC(=C(OC)O[Si](C)(C)C)C,ACN
phenysilane,C1=CC=C(C=C1)[SiH3],2.0,None,oxidation,C1=CC=C(C=C1)[SiH3],ACN
1-Methyl-4-silylbenzene,CC1=CC=C(C=C1)[SiH3],1.88,None,oxidation,CC1=CC=C(C=C1)[SiH3],ACN
"(2,4,6-trimethylphenyl)silane",CC1=CC(=C(C(=C1)C)[SiH3])C,1.7800000000000002,None,oxidation,CC1=CC(=C(C(=C1)C)[Si])C,ACN
"N,N-Dimethyl-4-silylaniline",CN(C)C1=CC=C(C=C1)[SiH3],0.68,None,oxidation,CN(C)C1=CC=C(C=C1)[SiH3],ACN
Benzyltrimethylsilane,C[Si](C)(C)CC1=CC=CC=C1,0.99,None,oxidation,C[Si](C)(C)CC1=CC=CC=C1,ACN
trimethyl(phenylsulfanylmethyl)silane,C[Si](C)(C)CSC1=CC=CC=C1,1.09,None,oxidation,C[Si](C)(C)CSC1=CC=CC=C1,ACN
N-[(Trimethylsilyl)methyl]aniline,C[Si](C)(C)CNC1=CC=CC=C1,0.38,None,oxidation,C[Si](C)(C)CNC1=CC=CC=C1,ACN
propane-1-thiol,CCCS,1.08,None,oxidation,CCCS,ACN
butane-1-thiol,CCCCS,1.2799999999999998,None,oxidation,CCCCS,ACN
methylsulfanylmethane,CSC,1.14,None,oxidation,CSC,ACN
ethylsulfanylethane,CCSCC,1.29,None,oxidation,CCSCC,ACN
methylsulfinylmethane,CS(=O)C,1.6100000000000003,None,oxidation,CS(=O)C,ACN
"N,N-dimethylmethanesulfonamide",CN(C)S(=O)(=O)C,1.6800000000000002,None,oxidation,CN(C)S(=O)(=O)C,ACN
Pyrrole,C1=CNC=C1,0.7000000000000001,None,oxidation,C1=CNC=C1,ACN
Pyridine,C1=CC=NC=C1,1.7600000000000002,None,oxidation,C1=CC=NC=C1,ACN
Thiophene,C1=CSC=C1,1.54,None,oxidation,C1=CSC=C1,ACN
2-tert-butyl-1H-pyrrole,CC(C)(C)C1=CC=CN1,0.7300000000000001,None,oxidation,CC(C)(C)C1=CC=CN1,ACN
4-nitro-1-oxidopyridin-1-ium,C1=C[N+](=CC=C1[N+](=O)[O-])[O-],1.7400000000000002,None,oxidation,C1=C[N+](=CC=C1[N+](=O)[O-])[O-],ACN
1-oxidopyridin-1-ium-4-carbonitrile,C1=C[N+](=CC=C1C#N)[O-],1.88,None,oxidation,C1=C[N+](=CC=C1C#N)[O-],ACN
Nicotinonitrile 1-oxide,C1=CC(=C[N+](=C1)[O-])C#N,1.62,None,oxidation,C1=CC(=C[N+](=C1)[O-])C#N,ACN
4-chloropyridine N-oxide,C1=C[N+](=CC=C1Cl)[O-],1.4,None,oxidation,C1=C[N+](=CC=C1Cl)[O-],ACN
1-oxidopyridin-1-ium,C1=CC=[N+](C=C1)[O-],1.41,None,oxidation,C1=CC=[N+](C=C1)[O-],ACN
4-methyl-1-oxidopyridin-1-ium,CC1=CC=[N+](C=C1)[O-],1.2200000000000002,None,oxidation,CC1=CC=[N+](C=C1)[O-],ACN
3-methyl-1-oxidopyridin-1-ium,CC1=C[N+](=CC=C1)[O-],1.4,None,oxidation,CC1=C[N+](=CC=C1)[O-],ACN
4-methoxy-1-oxidopyridin-1-ium,COC1=CC=[N+](C=C1)[O-],0.97,None,oxidation,COC1=CC=[N+](C=C1)[O-],ACN
"N,N-dimethyl-1-oxidopyridin-1-ium-4-amine",CN(C)C1=CC=[N+](C=C1)[O-],0.37,None,oxidation,CN(C)C1=CC=[N+](C=C1)[O-],ACN
3-methoxy-1-oxidopyridin-1-ium,COC1=C[N+](=CC=C1)[O-],1.33,None,oxidation,COC1=C[N+](=CC=C1)[O-],ACN
3-chloro-1-oxidopyridin-1-ium,C1=CC(=C[N+](=C1)[O-])Cl,1.5100000000000002,None,oxidation,C1=CC(=C[N+](=C1)[O-])Cl,ACN
ethyl 1-oxidopyridin-1-ium-3-carboxylate,CCOC(=O)C1=C[N+](=CC=C1)[O-],1.5300000000000002,None,oxidation,CCOC(=O)C1=C[N+](=CC=C1)[O-],ACN
ethyl 1-oxidopyridin-1-ium-4-carboxylate,CCOC(=O)C1=CC=[N+](C=C1)[O-],1.5900000000000003,None,oxidation,CCOC(=O)C1=CC=[N+](C=C1)[O-],ACN
4-ethyl-1-oxidopyridin-1-ium,CCC1=CC=[N+](C=C1)[O-],1.1800000000000002,None,oxidation,CCC1=CC=[N+](C=C1)[O-],ACN
2-(1H-pyrrol-2-yl)-1H-pyrrole,C1=CNC(=C1)C2=CC=CN2,0.2099999999999999,None,oxidation,C1=CNC(=C1)C2=CC=CN2,ACN
2-methyl-5-(1H-pyrrol-2-yl)-1H-pyrrole,CC1=CC=C(N1)C2=CC=CN2,0.0699999999999999,None,oxidation,CC1=CC=C(N1)C2=CC=CN2,ACN
2-methyl-5-(5-methyl-1H-pyrrol-2-yl)-1H-pyrrole,CC1=CC=C(N1)C2=CC=C(N2)C,-0.0899999999999999,None,reduction,CC1=CC=C(N1)C2=CC=C(N2)C,ACN
2-methyl-1H-benzimidazole,CC1=NC2=CC=CC=C2N1,0.99,None,oxidation,CC1=NC2=CC=CC=C2N1,ACN
"1,2,3-Trimethyl-1H-benzimidazolium",CC1=[N+](C2=CC=CC=C2N1C)C,1.91,None,oxidation,CC1=[N+](C2=CC=CC=C2N1C)C,ACN
1-Ethylquinolinium,CC[N+]1=CC=CC2=CC=CC=C21,2.19,None,oxidation,CC[N+]1=CC=CC2=CC=CC=C21,ACN
"1,1-dimethylhydrazine",CN(C)N,-0.2,None,reduction,CN(C)N,ACN
"1,1,2,2-tetramethylhydrazine",CN(C)N(C)C,-0.1099999999999999,None,reduction,CN(C)N(C)C,ACN
"1,1,2-trimethyl-2-propylhydrazine",CCCN(C)N(C)C,-0.12,None,reduction,CCCN(C)N(C)C,ACN
Butyltrimethylhydrazine,CCCCN(C)N(C)C,-0.12,None,reduction,CCCCN(C)N(C)C,ACN
"1,1-dimethyl-2,2-dipropylhydrazine",CCCN(CCC)N(C)C,-0.14,None,reduction,CCCN(CCC)N(C)C,ACN
"N,N'-Diethyl-N,N'-dimethylhydrazine",CCN(C)N(C)CC,-0.13,None,reduction,CCN(C)N(C)CC,ACN
tert-Butyl trimethylhydrazine,CC(C)(C)N(C)N(C)C,0.05,None,oxidation,CC(C)(C)N(C)N(C)C,ACN
"Hydrazine, 1,2-di-tert-butyl 1,2-dimethyl-",CC(C)(C)N(C)N(C)C(C)(C)C,0.13,None,oxidation,CC(C)(C)N(C)N(C)C(C)(C)C,ACN
"1-Pyrrolidinamine, N,N-dimethyl-",CN(C)N1CCCC1,-0.27,None,reduction,CN(C)N1CCCC1,ACN
"1-Piperidinamine, N,N-dimethyl-",CN(C)N1CCCCC1,-0.0799999999999999,None,reduction,CN(C)N1CCCCC1,ACN
N-(N-Pyrrolidinyl)-piperidine,C1CCN(CC1)N2CCCC2,-0.24,None,reduction,C1CCN(CC1)N2CCCC2,ACN
"Hexahydropyrazolo[1,2-a]pyrazole",C1CN2CCCN2C1,-0.36,None,reduction,C1CN2CCCN2C1,ACN
"1,2-dimethylpyrazolidine",CN1CCCN1C,-0.33,None,reduction,CN1CCCN1C,ACN
"2,3-Diazabicyclo(2.2.2)octane, 2,3-dimethyl-",CN1C2CCC(N1C)CC2,-0.29,None,reduction,CN1C2CCC(N1C)CC2,ACN
"Pyridazine, hexahydro-1,2,3,6-tetramethyl-, cis-",CC1CCC(N(N1C)C)C,-0.24,None,reduction,CC1CCC(N(N1C)C)C,ACN
"1,2-dimethylhexahydropyridazine",CN1CCCCN1C,-0.21,None,reduction,CN1CCCCN1C,ACN
"1,2-Diazacyclohex-4-ene, 1,2-dimethyl-",CN1CC=CCN1C,-0.1099999999999999,None,reduction,CN1CC=CCN1C,ACN
"1,6-Diazabicyclo(4.4.0)decane",C1CCN2CCCCN2C1,-0.16,None,reduction,C1CCN2CCCCN2C1,ACN
"3,4-diethyl-1,3,4-oxadiazolidine",CCN1COCN1CC,0.17,None,oxidation,CCN1COCN1CC,ACN
"1,2,4,5-Tetraazacyclohexane, 1,2,4,5-tetramethyl-",CN1CN(N(CN1C)C)C,-0.0699999999999999,None,reduction,CN1CN(N(CN1C)C)C,ACN
"2,3-Diazabicyclo[2.2.1]hept-2-ene",C1CC2CC1N=N2,1.58,None,oxidation,C1CC2CC1N=N2,ACN
"7,7-dimethyl-2,3-diazabicyclo[2.2.1]hept-2-ene",CC1(C2CCC1N=N2)C,1.46,None,oxidation,CC1(C2CCC1N=N2)C,ACN
"1,4-dimethyl-2,3-diazabicyclo[2.2.1]hept-2-ene",CC12CCC(C1)(N=N2)C,1.2000000000000002,None,oxidation,CC12CCC(C1)(N=N2)C,ACN
"2,3-diazabicyclo[2.2.2]oct-2-ene",C1CC2CCC1N=N2,1.06,None,oxidation,C1CC2CCC1N=N2,ACN
"1,4-Dimethyl-2,3-diaza-bicyclo(2.2.2)oct-2-ene",CC12CCC(CC1)(N=N2)C,0.95,None,oxidation,CC12CCC(CC1)(N=N2)C,ACN
"methyl 3,5,5-trimethyl-4,5-dihydro-3H-pyrazole-3-carboxylate",CC1(CC(N=N1)(C)C(=O)OC)C,1.66,None,oxidation,CC1(CC(N=N1)(C)C(=O)OC)C,ACN
"3,4-diazatricyclo[4.2.1.02,5]nona-3,7-diene",C1C2C=CC1C3C2N=N3,1.91,None,oxidation,C1C2C=CC1C3C2N=N3,ACN
N-[(E)-diethylaminodiazenyl]-N-ethylethanamine,CCN(CC)/N=N/N(CC)CC,-0.0699999999999999,None,reduction,CCN(CC)N=NN(CC)CC,ACN
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,-3.6499999999999995,None,reduction,C1=CC=NC(=C1)C2=CC=CC=N2,ACN
"1,10-phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,-3.51,None,reduction,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,ACN
"3,3'-Azotoluene",CC1=CC(=CC=C1)N=NC2=CC=CC(=C2)C,"-2.8999999999999995,-3.5299999999999994",None,reduction,CC1=CC(=CC=C1)N=NC2=CC=CC(=C2)C,ACN
"1,1'-Azonaphthalene",C1=CC=C2C(=C1)C=CC=C2N=NC3=CC=CC4=CC=CC=C43,"-2.6499999999999995,-3.2099999999999995",None,reduction,C1=CC=C2C(=C1)C=CC=C2N=NC3=CC=CC4=CC=CC=C43,ACN
"2,2'-Azonaphthalene",C1=CC=C2C=C(C=CC2=C1)N=NC3=CC4=CC=CC=C4C=C3,"-2.7399999999999998,-3.2699999999999996",None,reduction,C1=CC=C2C=C(C=CC2=C1)N=NC3=CC4=CC=CC=C4C=C3,ACN
"4,4'-Azobiphenyl",C1=CC=C(C=C1)C2=CC=C(C=C2)N=NC3=CC=C(C=C3)C4=CC=CC=C4,"-2.7399999999999998,-3.2899999999999996",None,reduction,C1=CC=C(C=C1)C2=CC=C(C=C2)N=NC3=CC=C(C=C3)C4=CC=CC=C4,ACN
"4,4'-Azopyridine",C1=CN=CC=C1N=NC2=CC=NC=C2,"-2.32,-3.05",None,reduction,C1=CN=CC=C1N=NC2=CC=NC=C2,ACN
"2,3-Dimethylnaphthalene",CC1=CC2=CC=CC=C2C=C1C,"0.993,1.253",None,oxidation,CC1=CC2=CC=CC=C2C=C1C,ACN
Indan,C1CC2=CC=CC=C2C1,"1.503,1.933",None,oxidation,C1CC2=CC=CC=C2C1,ACN
Tetracene,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,"0.453,1.113",None,oxidation,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,ACN
"1,2-Benzanthracene",C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,"0.913,1.003",None,oxidation,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,ACN
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,"0.973,1.153",None,oxidation,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,ACN
Chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,"1.133,1.183",None,oxidation,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,ACN
Triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,"1.373,1.463",None,oxidation,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,ACN
"1,2,5,6-Dibenzanthracene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,"0.913,1.173",None,oxidation,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,ACN
Phenoxathiin,C1=CC=C2C(=C1)OC3=CC=CC=C3S2,"0.738,1.233",None,oxidation,C1=CC=C2C(=C1)OC3=CC=CC=C3S2,ACN
Thianthrene,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"0.778,1.103",None,oxidation,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,ACN
"3,4-Dimethoxypropenylbenzene",C/C=C/C1=CC(=C(C=C1)OC)OC,"0.600,0.820,1.020",None,oxidation,CC=CC1=CC(=C(C=C1)OC)OC,ACN
p-Nitro aniline,C1=CC(=CC=C1N)[N+](=O)[O-],"0.590,0.760",None,oxidation,C1=CC(=CC=C1N)[N+](=O)[O-],ACN
9-Amino-10-phenylanthracene,C1=CC=C(C=C1)C2=C3C=CC=CC3=C(C4=CC=CC=C42)N,"0.083,0.933",None,oxidation,C1=CC=C(C=C1)C2=C3C=CC=CC3=C(C4=CC=CC=C42)N,ACN
N-Methylphenothiazine,CN1C2=CC=CC=C2SC3=CC=CC=C31,"0.313,0.883",None,oxidation,CN1C2=CC=CC=C2SC3=CC=CC=C31,ACN
Persantine,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,"0.133,0.383",None,oxidation,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,ACN
"9,10-Dibromoanthracene",C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br,"1.063,1.383",None,oxidation,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br,ACN
p-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO,"1.133,1.553",None,oxidation,COC1=CC=C(C=C1)CO,ACN
p-Iodobenzyl alcohol,C1=CC(=CC=C1CO)I,"1.493,1.823",None,oxidation,C1=CC(=CC=C1CO)I,ACN
Cinnamyl alcohol,C1=CC=C(C=C1)/C=C/CO,"1.243,1.733",None,oxidation,C1=CC=C(C=C1)C=CCO,ACN
p-Nitrocinnamyl alcohol,C1=CC(=CC=C1/C=C/CO)[N+](=O)[O-],"1.273,1.683",None,oxidation,C1=CC(=CC=C1C=CCO)[N+](=O)[O-],ACN
Hydrazobenzene,C1=CC=C(C=C1)NNC2=CC=CC=C2,"0.093,1.263",None,oxidation,C1=CC=C(C=C1)NNC2=CC=CC=C2,ACN
"4,4'-Dichlorohydrazobenzene",C1=CC(=CC=C1NNC2=CC=C(C=C2)Cl)Cl,"0.173,1.353",None,oxidation,C1=CC(=CC=C1NNC2=CC=C(C=C2)Cl)Cl,ACN
"5,10-dihydro-5,10-dimethylphenazine",CN1C2=CC=CC=C2N(C3=CC=CC=C31)C,"-0.29,0.5",None,oxidation,CN1C2=CC=CC=C2N(C3=CC=CC=C31)C,ACN
